status_id,code,text,is_quote,is_retweet,quoted_text,retweet_text
ID_1236721529649614852,2,"You'll probably want to watch this again:

@AnthonyCowanJr checks out for the last time in a @TerrapinHoops home game. https://t.co/VtbfguxTuA",FALSE,TRUE,NA,"You'll probably want to watch this again:

@AnthonyCowanJr checks out for the last time in a @TerrapinHoops home game. https://t.co/VtbfguxTuA"
ID_1236796642562437126,2,#NAME?,FALSE,FALSE,NA,NA
ID_1236724682717626373,2,#NAME?,FALSE,FALSE,NA,NA
ID_1233958523865878530,2,#NAME?,FALSE,FALSE,NA,NA
ID_1235600564018442246,2,#NAME?,FALSE,FALSE,NA,NA
ID_1235634361057206272,2,#NAME?,FALSE,FALSE,NA,NA
ID_1238131241620312064,2,#NAME?,FALSE,FALSE,NA,NA
ID_1233943744023552000,2,#NAME?,FALSE,FALSE,NA,NA
ID_1233958516756504577,2,#NAME?,FALSE,FALSE,NA,NA
ID_1233957326333399040,2,#NAME?,FALSE,FALSE,NA,NA
ID_1233924172201517056,2,#NAME?,FALSE,FALSE,NA,NA
ID_1238270286845431808,2,#NAME?,TRUE,TRUE,"The Numbers Don’t Lie. Jordan Persad is an ELITE PG. 🗣
-
As the regular season comes to an end today, @CraftyyyJ will finish the season as both scoring &amp; assists leader, while averaging 9.3rpg &amp; 3spg. Doing a little bit of everything, Jordan can get it done at any level. 🌟🇨🇦 https://t.co/tcwjVPzMRf",#NAME?
ID_1236751748603183106,2,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins",FALSE,TRUE,NA,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins"
ID_1236093313003991047,4,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu",FALSE,TRUE,NA,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu"
ID_1236084880750137344,4,Plumber’s Joint with some juicypapers to get the weekend started 😁  #hemp #hempflower #organic #cbd #cbdflower  #cannabis #cannabiscommunity #bud #cbdbud #happybudzhemp  #terpenes #terps  #artofrolling #joints… https://t.co/ybJRwQ8hCx,FALSE,FALSE,NA,NA
ID_1236775723534290950,4,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2,FALSE,TRUE,NA,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2
ID_1237368548185509889,4,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS",FALSE,TRUE,NA,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS"
ID_1233889783501508608,4,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",FALSE,TRUE,NA,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj"
ID_1233898642106388480,4,Randy!!!!,TRUE,FALSE,"Maryland gets two runs back on a Randy Bednar double and a Tavan Shahidi RBI groundout

M8 | #Terps 3, Chants 6

#DirtyTerps https://t.co/vJ4Tqu0MHq",NA
